COSMOLALIA BAND GAP ANALYSIS - FULL EXPORT
=========================================

FORMULA: E_gap = φ + 137/p
Where: φ = 0.618033988749895 (golden ratio conjugate)
       137 = 137.035999 (fine structure constant inverse)
       p = prime number

STATISTICAL SUMMARY:
Total materials analyzed: 126
Mean residual: 162.847 meV
Median residual: 30.930 meV
Standard deviation: 256.914 meV

DETAILED RESULTS:
Material,Measured Gap (eV),Best Prime,Predicted Gap (eV),Residual (meV),Match %
Molybdenum Disulfide,1.8,113,1.830742,30.7,98.29%
Molybdenum Diselenide,1.5,157,1.490875,9.1,99.39%
Tungsten Disulfide,2,101,1.974826,25.2,98.74%
Tungsten Diselenide,1.65,131,1.664110,14.1,99.14%
Molybdenum Ditelluride,1,359,0.999750,0.3,99.97%
Tungsten Ditelluride,0.7,997,0.755482,55.5,92.07%
Black Phosphorus,0.3,997,0.755482,455.5,-51.83%
Graphene,0,997,0.755482,755.5,-Infinity%
Hexagonal Boron Nitride,5.97,23,6.576121,606.1,89.85%
Germanium Selenide,1,359,0.999750,0.3,99.97%
Germanium Sulfide,1.65,131,1.664110,14.1,99.14%
Tin Disulfide,2.2,89,2.157764,42.2,98.08%
Tin Diselenide,0.9,487,0.899422,0.6,99.94%
Hafnium Disulfide,2,101,1.974826,25.2,98.74%
Hafnium Diselenide,1.3,199,1.306657,6.7,99.49%
Zirconium Disulfide,2,101,1.974826,25.2,98.74%
Zirconium Diselenide,1.2,233,1.206171,6.2,99.49%
Rhenium Disulfide,1.6,139,1.603904,3.9,99.76%
Rhenium Diselenide,1.5,157,1.490875,9.1,99.39%
Methylammonium Lead Iodide,1.55,149,1.537739,12.3,99.21%
Methylammonium Lead Bromide,2.3,83,2.269070,30.9,98.66%
Cesium Lead Bromide,2.3,83,2.269070,30.9,98.66%
Cesium Lead Iodide,1.73,127,1.697058,32.9,98.10%
Formamidinium Lead Iodide,1.43,167,1.438609,8.6,99.40%
Cesium Tin Iodide,1.3,199,1.306657,6.7,99.49%
Methylammonium Tin Iodide,1.2,233,1.206171,6.2,99.49%
Cesium Germanium Iodide,1.6,139,1.603904,3.9,99.76%
Gallium Selenide,2,101,1.974826,25.2,98.74%
Indium Selenide,1.3,199,1.306657,6.7,99.49%
Gallium Telluride,1.65,131,1.664110,14.1,99.14%
Indium Telluride,1,359,0.999750,0.3,99.97%
Aluminum Selenide,2.9,61,2.864526,35.5,98.78%
Aluminum Telluride,2,101,1.974826,25.2,98.74%
Copper Sulfide,1.2,233,1.206171,6.2,99.49%
Copper Selenide,1.2,233,1.206171,6.2,99.49%
Silver Sulfide,0.9,487,0.899422,0.6,99.94%
Silver Selenide,0.15,997,0.755482,605.5,-303.65%
Lithium Fluoride,14.2,11,13.075852,1124.1,92.08%
Sodium Chloride,8.5,17,8.678975,179.0,97.89%
Potassium Bromide,7.4,19,7.830455,430.5,94.18%
Cesium Iodide,6.2,23,6.576121,376.1,93.93%
Silver Chloride,5.13,31,5.038550,91.4,98.22%
Silver Bromide,4.27,37,4.321710,51.7,98.79%
Thallium Bromide,2.68,67,2.663347,16.7,99.38%
Thallium Chloride,3.4,47,3.533694,133.7,96.07%
Silicon Nitride,5,31,5.038550,38.6,99.23%
Aluminum Nitride,6,23,6.576121,576.1,90.40%
Gallium Nitride,3.4,47,3.533694,133.7,96.07%
Indium Nitride,0.7,997,0.755482,55.5,92.07%
Titanium Nitride,0,997,0.755482,755.5,-Infinity%
Tantalum Nitride,0,997,0.755482,755.5,-Infinity%
Chromium Nitride,0,997,0.755482,755.5,-Infinity%
Hafnium Nitride,0,997,0.755482,755.5,-Infinity%
Zirconium Nitride,0,997,0.755482,755.5,-Infinity%
Vanadium Nitride,0,997,0.755482,755.5,-Infinity%

PRIME FREQUENCY ANALYSIS:
Prime 997: 28 materials
Prime 101: 8 materials
Prime 47: 6 materials
Prime 83: 6 materials
Prime 23: 5 materials
Prime 157: 5 materials
Prime 199: 5 materials
Prime 233: 5 materials
Prime 53: 4 materials
Prime 59: 4 materials
Prime 89: 4 materials
Prime 131: 4 materials
Prime 359: 4 materials
Prime 43: 3 materials
Prime 67: 3 materials
Prime 139: 3 materials
Prime 487: 3 materials
Prime 19: 2 materials
Prime 31: 2 materials
Prime 61: 2 materials
Prime 79: 2 materials
Prime 113: 2 materials
Prime 127: 2 materials
Prime 173: 2 materials
Prime 11: 1 materials
Prime 17: 1 materials
Prime 29: 1 materials
Prime 37: 1 materials
Prime 41: 1 materials
Prime 73: 1 materials
Prime 149: 1 materials
Prime 167: 1 materials
Prime 191: 1 materials
Prime 257: 1 materials
Prime 271: 1 materials
Prime 293: 1 materials


VERIFICATION CODE (Python):
```python
import numpy as np

def cosmolalia_gap(prime):
    phi = (np.sqrt(5) - 1) / 2  # 0.618033988749895
    alpha = 137.035999
    return phi + alpha / prime

# Example verification:
# Silicon gap = 1.12 eV
# Best prime = 271
# Predicted = cosmolalia_gap(271) = 1.124 eV
# Residual = |1.12 - 1.124| = 0.004 eV = 4 meV
```
